project_name,oneliner,git_namespace,git_url,platform,topics,rubric,last_commit_date,stargazers_count,number_of_dependents,stars_last_year,project_active,dominating_language,organization,organization_user_name,languages,homepage,refs,project_created,project_age_in_days,license,total_commits_last_year,total_number_of_commits,last_issue_closed,open_issues,closed_pullrequests,closed_issues,issues_closed_last_year,days_until_last_issue_closed,open_pullrequests,reviews_per_pr,development_distribution_score,last_released_date,last_release_tag_name,good_first_issue,contributors,accepts_donations,donation_platforms,code_of_conduct,contribution_guide,dependents_repos,organization_name,organization_github_url,organization_website,organization_location,organization_country,organization_form,organization_avatar,organization_public_repos,organization_created,organization_last_update
pvlib-python,A set of documented functions for simulating the performance of photovoltaic energy systems.,pvlib,https://github.com/pvlib/pvlib-python.git,github,"solar-energy,python,renewable-energy,renewables,photovoltaic",Photovoltaics and Solar Energy,"2023/10/23, 15:15:23",958,431,214,true,Python,pvlib,pvlib,"Python,TeX,Cython,Pan",https://pvlib-python.readthedocs.io,",https://doi.org/10.5281/zenodo.593284,https://doi.org/10.21105/joss.00884\n\nPlease,https://zenodo.org/search?page=1&size=20&q=conceptrecid:593284&all_versions&sort=-version","2015/02/17, 00:21:33",3172,BSD-3-Clause,124,1555,"2023/10/21, 12:52:12",205,852,1578,263,4,42,3.4,0.542319749216301,"2023/09/21, 20:02:01",v0.10.2,8,105,false,,true,true,"andreabotti/itacca,NREL/EVOLVE,atiqureee51/energy-financial-PV,Satyabhama-Reddy/shadow-analysis,nonzchanon/hello-streamlit,realnumber666/smart-city,sravya97/Shadow-Analysis,shreyasskasetty-tamu/shadow_analysis,Patrickyyh/shadow_analysis_yuhao,IsurangaPerera/shadow-analaysis,woodjmichael/PROPHET-Load_LSTM,Haitham-ghaida/MCC,OneMogin/model_hofmann,TimWalter/solar-power-estimator,blazdob/consmodel,riparise/solar-panel-sizing-tool,D-Agar/CanSat-Data-Client,cutmyenergybill/domestic-energy-bill-reduction-app,MainakRepositor/Activation-Infopedia,haydaroglu/SolarEnergyPredictionSuite,openclimatefix/nowcasting_forecast,makkorjamal/hsdigitizer,openclimatefix/nowcasting_dataset,fulvio9999/PROGETTO-BD,justinfmccarty/morph-app,fgbg03/PROCSIM-Running-Results-Frontend,piotre13/NODES_platform,RWTH-EBC/AixWeather,justinfmccarty/pyepwmorph,pail23/energy-assistant-backend,heetbeet/heliostat-prototype,DavidMbx/Tesi_DavideCasuccio_SimulationTool,maniraman1982/Portola-master,AEJaspan/irradianceforecasting,matiasctrs/app-apv,Deutsches-Brennstoffinstitut/H2-Index-III,manitcs1982/PortolaProd2024,shadingfish/Dingyi_Yu-Digital-Agri-Lab,owentmfoo/WSCForecast,interuss/monitoring,manitcs1982/portolauatlocal,maniraman1982/uat,maniraman1982/portola-UAT,hmendo/chrpa,Shkryob/kostya-optimizer,hmendo/chrpa_test,Geoandres321/Trackers,Victor19970418/Power-consumption-forecast,manitcs1982/HaveBlue-root,cs224/jupyter-docker-hello-world,zhaoshouhang/pandas_learn,amritPVre/Solar_energy_estimator_v01,NREL/OCHRE,flecksi/container_test,stephansmit/heliostrome,AI-nergy/aiecommon,langestefan/pvcast,Deutsches-Brennstoffinstitut/DBI-MAT,mbari-org/pypam-based-processing,chz056/BEAR,cai-yutian/pv-modelling-mirror,NREL/lore,gereon-t/oaemapi,Mousa-Zerai/HiSim,marcwatine/CC-LUT,BETALAB-team/EUReCA,owentmfoo/dusc_race_strategy_archive,jucrramirez/OrnamentaRainbow,shirubana/Approaches2BifacialPerformanceMonitoring,isc-konstanz/th-e-fcst,JustinZarb/natural_maps,cedricleroy/solpos,Hoshang111/lcoe-model,Sim-on-Wheels/Sim-on-wheels-Renderer,wago-stiftung/workshop_data-analytics,Nikita-Belyakov/CLOUD_SNOW_SEGMENTATION,kaiATtum/battery-swapping-station-model,SMEISEN/AutoPV,the-aerospace-corporation/selenium,pdb-94/miguel,dcambie/LSC-PM_solar_miniplant,occamssafetyrazor/deps,SETO2243/forecasting,tug-cps/inframonitor-public,amosnjenga/pcsrt_python_cli,PVSC-Python-Tutorials/PVSC50,in-RET/inretensys-fastapi,Mizunomori/NEM_Pricing,Lodinn/PAM-timeseries,2022Yalin/MSc,CDT-AIMLAC/team_7564616d_models,NOWUM/smartdso,pombredanne/5000-deps,amritPVre/inter-row_beta,in-RET/in.RET-EnSys-open-plan-GUI,tribp/solar-forecast-api,salazarna/synthetic-irradiance-sequence,Abercardsea/Abercardsea-solution,Hykire/photovoltaic_simulation,HZBSolarOptics/pv_tandem,JMMonte/Reentry,LuisGarayF/shipcal_cl,slacgismo/pv-validation-hub,streetplantsolar/enactment-eyelash-strike-a4mm,heliostrome/streamlit_app,guilhermedcastr0/simulador_solar,sebastienlanglois/dash-gis,kabirnund/PROTOTYPE,Constructor-999/PlantSat-CanSat,kperrynrel/time-shift-validation-hub,DarkBrain-LP/Essivi-API,MIPU-MPH/i-nergy,bladekeys/sipi_project,xinhhh/capstone,openclimatefix/gfs-downloader,nicosquare/rl-energy-management,mikecoughlan/multi-station-dbdt-risk-assessment,JonathanRJ404/Code_Etalonnage,data-overflow/solar-output-predictor,kianwasabi/Weather_Information_API,areyc2023/cno,zakwatts/NWP_Island_data,ski907/historicHeatFlux,openclimatefix/pv-site-api,AssessingSolar/AssessingSolar,ijbd/merra-power-generation,dtcc-platform/dtcc-solar,openclimatefix/pv-site-production,antoine-zurcher/PreSimulatorPV,StefaE/PVForecast,pvlib/solarfactors,MahrokhGB/Synthetic_PV_Profiles,openclimatefix/uk-pv-national-xg,zsteenson/GUI-two-axis-tracker-controller,owentmfoo/S5,kandersolar/twoaxistracking,wholmgren/twoaxistracking,TAMUparametric/energiapy,bitenergie/notes,gitter-badger/thea-1,openclimatefix/ocf-ml-metrics,ekck/solar-power-gen-analysis,openclimatefix/pv-solar-farm-forecasting,nicolasdesilles/PIRD,mark-mcnulty/two-axis-tracker-controller-code,UU-ER/EHUB-Py_Training,sofuetakuma112/pvpmc2022,lgaspard/repf,NOWUM/dmas,kike144/Solar,alksarioglou/compression_algorithms_fpga_ultrasound,NREL/PVDegradationTools,json-0201/weather_and_solar_summary,saif-byte/masterpiece_limited,kkriti01/pvsimulator,Apoorva64/mauritius-solar-pannel-placement-analysis,DitisAlex/HAN-OOSE-Prediction-Model-BackEnd,ski907/hff,openclimatefix/pv-site-prediction,Tsiri/RHEIA,19conte/TR_datasophia,DTUWindEnergy/hydesign,MORE-EU/hackathon_athena,NCAR/mlsurfacelayer,NCAR/grafs,ttjaden/vdi4657.app,nhcho91/active-weighting-cmrac,kfiramar/baldar,cambridge-cares/TheWorldAvatar,tadatoshi/agrivoltaics_supply_side_management,FedericoTartarini/tool-risk-scale-football-nsw,Yasmin1209/Freshwater-PV,openclimatefix/PVItaly,ArcticSnow/TopoPyScale,flecksi/pv_design_app,SepehrMosavat/PROGNOES,AlexandreHugoMathieu/pvfault_detection,BenWinchester/HEATDesalination,energyris-com/ai4hotels-demo,ShayanNaderi/PrecoolTool,slacgismo/pv-apache-beam,icaromisquita/WBS-Final-Project-PV-energy-prediction-for-Germany,rseng/rsepedia-analysis,magneb/skycolor,dvdjng/fpvwebsite,stefvra/energy_app,usnistgov/NIST_SG_SolarSim,JPCM95/portfo,simonneidhart/pv_mapping_ch,kaustuvchatterjee/vskp,openclimatefix/ocf_datapipes,pollination/sample-apps,flopaw/pvforecast-docker,moritz-reuter/ESEM-EE,PVSC-Python-Tutorials/PVPMC_2022,cwhanse/ivcurves,brandonhanner/Solar-Simulation,nikohou/pv-data-utility-suite,AssessingSolar/solarstations,openclimatefix/power_perceiver,LBNL-ETA/AFC,olousgap/Combi_CSP,VMLC-PV/PVLC_Diode_Fit,OpenSTEF/openstef,joaoguilhermeS/Web-Development,cire-thk/BifacialSimu,npapnet/Combi_CSP,pranavsinghal30/PVForecast,tongpu/solar-power-simulation,BETALAB-team/eureca-building,slacgismo/gismo-cloud-deploy,jranalli/solartoolbox,jjcaine/top_dependencies_python,LE2P/pybsrnqc,oie-mines-paristech/IEA_PVPS_T16_QC_pynb,msoutojr/IFT-6759-Photovoltaic-forecast,nicosquare/ml-707-project,EvYogi/Rivesaltes,AndresPadillaUcros/PhotovoltaicForecast,mj-xmr/SolOptXMR,e-marco/onetmy,marcoboucas/irradiance,modusV/skia,sandialabs/CFTrack,enermaps/enermaps,helvecioneto/goes-data-toolkit,sophiegribben/EM401,davidusb-geek/emhass-add-on,aimlac-7564616D/models,cycle13/climate,abhijeetmokate/folder9876,zahraghh/DESweatherAnalysis,jsl12/plants,mtress/mtress,SeitaBV/flexmeasures-openweathermap,blaevens/PV_mcmc,ewilczynski/enermaps,energyscope/EnergyScope_multi_criteria,viktor-platform/sample-solar-panel-configurator,bhavyadureja25/ds_tool_with_upload,Sourabh470/IoT_Dashboard,shortfellow/dashapp,sunt05/SuPy,Caedin/RaspberryPiCamera,RubenVanEldik/ect2-bonus-project,instrat-pl/pypsa-pl,ZaninMarco/Copy-of-repository,mape-maker/mape-maker,Adrianonsare/EnergyAnalytics,covetool/clima,AnnabelNkir/La_Galerie,vondeF/solar_prediction-master,AIMLAC-Convergence/Convergence,YashasviBhatt/transformer_streaming,Bimal-Kumar-002/Sentiment-classification,inrae/SISPPEO,burundiocibu/pvlib-prometheus-exporter,fernandochacon92/AAM_APP_MA_2021,SteveShin9330/PV_PRED_LDAPS,PVSC-Python-Tutorials/pyData-2021-Solar-PV-Modeling,andresgm/cno_solar,rehomewebapp/REhome,rohitsanam/streamlit-basic-app,FZJ-IEK3-VSA/HiSim,tjcoathu/bifacial_radiance,AnaDue99/microCPV_Iluminacion,zahraghh/multi_objective_optimization,martinrteran/Taller_Python3,hancse/ai_model_deployment,amritPVre/Hourly_GHI_GII_App,davidusb-geek/emhass,thiagohgmello1/pvsystem,AvG97/Avocado-Analyzer,yaotc/PVODataset,waggle-sensor/plugin-solar-irradiance,AdamRJensen/adamrjensen.github.io,IMMM-SFA/diyepw,slacgismo/solar-data-tools,UlisseProject/ULISSE,isi-ies-group/hiperion_app,bershawi/PV-simulator-challenge,SESMG/SESMG,JoseDiego101/Blog,h-quest/FDDA_app,sandialabs/pecos,nxtrung87/Voila,rheia-framework/RHEIA,PVSC-Python-Tutorials/PVSC48-Python-Tutorial,sandialabs/pvOps,isc-konstanz/pvsys,UARENForecasting/ESPRR,thesethtruth/LESO,tinoetzold/PV-Prognose,cccwam/ift6759-project1-public,arkayyy/surya-disha,EURAC-EEBgroup/CULTURAL-E-Data-Visualization-Library,zahraghh/Two_Stage_SP,gpschnaars/zac_pvlib,francomozo/deepCloud,Saq90/ssg,gripenergy/omf,sillygoose/sbhistory,BBISSlab/DistributedEnergyGen,Vladykart/GPReport,mikofski/PVRW2021,mikofski/OLD-PVSC48-Python-Tutorial,CenterForTheBuiltEnvironment/clima,nacho-fm/glare,Peque/pvlib-procedural-test,SolarPerformanceInsight/solarperformanceinsight,UARENForecasting/erebos-ams2020,benjaminpillot/greece,Weiming-Hu/RenewableSimulator,SolarGenomeProject/uncertainty-pv-generation-models,rayarka/EG3301R_Data_and_Programs,jeanromainroy/spatial-prediction-afg-landmines,Vesino/Exergy-YDX,brizett/reegis_hp,Rumbelstilzchen/Monitoring,Vesino/pvlib_tesis,louis-richard/irfu-python,abachleda/FM_e-services,ihomelab/effect-of-sampling-rate-on-PV-self-consumption,DuraMAT/pvpro,oemof-heat/solar_models,traiyn/abcdtft,gayashiva/air_model,selmaneislam/rdootl,cdeline/bifacialvf,cogent-computing/Heed-Microcontroller,TheUninvitedGuest/tmh-challenge,zoezhang926/SolarMartSim,prathamrg/solarapp,Adrian658/ClearSkyDetection,jcjveraa/sunscreen-controller,RaphiOriginal/blindAutomation,jungse12/Ford-Deploy,jungse12/Ford-Website,Gkrumbach07/solar_forecaster,pvedu/pvon,danielvanpaass/Demonstrator,cropsinsilico/hothouse,chrisorner/PowerPlan,uiandwe/django-best-practice-example,emanuelosva/solaru,simardeep1792/LOHS,keenchan/111,keenchan/pv,david-salac/Renewable-energy-prediction,bradbase/flyingkoala_pvlib,DanielFonteneleNogueira/painel,quintel/scenario-tools,kwhanalytics/data-env,UniOfLeicester/plotdarn,greco-project/pvcompare,HrushikeshBodas/HRES_optimization,mesmo-dev/mesmo,yaricp/py-solarhouse,kwhanalytics/insurance-requirements,pvcaptest/pvcaptest,iansloop/PV_Mismatch_Refactoring,pvlib/pvanalytics,ECE-492-W2020-Group-6/smart-blinds-rpi,greco-project/greco_technologies,UARENForecasting/erebos,maxmills1/Irradiance,vegraux/solar_path,panzer/capstone-mppt,david-salac/Fast-SZA-and-SAA-computation,kwhanalytics/postgis-heliostats-py3.5,nicolasholland/yuce,nano-sippe/bifacial_illumination,FZJ-IEK3-VSA/RESKit,oemof/oemof-thermal,tylunel/pvpumpingsystem,Pyosch/vpplib,renewables-ninja/gsee,greco-project/cpvtopvlib,FZJ-IEK3-VSA/tsib,NREL/Solar-Forecasting,Jeffrey-Simpson/Solar-Forecasting,mikofski/pvwatts_emulator,toddkarin/vocmax,cbaretzky/BuildingEnergySimulation,Ekistica/irradiance_synth,coroa/tmhpvsim,MichaelHopwood/PVPolyfit,kwhanalytics/marvin,rory87/caledonia-energy,SolarArbiter/workshop,harpreet153/pv-graph,toddkarin/pvtools,duplessisaa/Docker,SolarArbiter/solarforecastarbiter-core,mesmo-dev/cobmo,25sal/pvprediction,josephmckinsey/NRELHackathon2018,BLM-UoR/BLM,NREL/pv_tomcat,be-lb/solar-loader,higab85/off-grid,buds-lab/the-building-data-genome-project,SunPower/pvfactors,hackingmaterials/duramat_dashboard,kwhanalytics/postgis-marvin,hackingmaterials/ivtools,michbeg/IBM-DSX,teamvirtue/smart-sockets-dev,JohannesBertens/InSolarBase,JasonTarzan/PV_Forecast,eckara/CSSS,heliotrope-energy/bifacial,louisguitton/ifp-class-ml,BreakingBytes/pvfree,BreakingBytes/simkit,tplemmens/InSolar,mikofski/pvsc44-clearsky-aod,Solcast/howto-pandas,vkinakh/calc-solar-panel-effectivness,WalterGoedecke/virtualenv,BreakingBytes/UncertaintyWrapper,open-fred/lib_validation,SunPower/PVMismatch,reegis/reegis,adriandole/pv_timelapse,isc-konstanz/emonpv,oemof/feedinlib,NREL/bifacialvf,NREL/rdtools,NREL/bifacial_radiance,nshakhat/PVSimulator",,https://github.com/pvlib,,,,,https://avatars.githubusercontent.com/u/11037261?v=4,,,
pvfactors,Open source view-factor model for diffuse shading and bifacial PV modeling.,SunPower,https://github.com/SunPower/pvfactors.git,github,"solar-energy,renewable-energy,python,bifacial",Photovoltaics and Solar Energy,"2022/02/22, 21:53:32",75,13,10,true,Python,SunPower,SunPower,"Python,Makefile",http://sunpower.github.io/pvfactors/,,"2018/05/14, 06:10:55",1990,BSD-3-Clause,0,104,"2023/04/28, 14:34:18",19,97,128,1,180,2,2.4,0.129032258064516,"2022/02/22, 20:16:58",v1.5.2,0,5,false,,false,true,"matiasctrs/app-apv,Hoshang111/lcoe-model,areyc2023/cno,kike144/Solar,tadatoshi/agrivoltaics_supply_side_management,rseng/rsepedia-analysis,cire-thk/BifacialSimu,andresgm/cno_solar,thesethtruth/LESO,prathamrg/solarapp,anomam/pvfactors_iea_pvps_study,toddkarin/vocmax,toddkarin/pvtools",,https://github.com/SunPower,,,,,https://avatars.githubusercontent.com/u/1341977?v=4,,,
gsee,Global Solar Energy Estimator.,renewables-ninja,https://github.com/renewables-ninja/gsee.git,github,"solar,pandas,energy,irradiance,photovoltaic,pv,electricity,ninja",Photovoltaics and Solar Energy,"2020/07/21, 06:28:35",105,0,15,false,Python,Renewables.ninja,renewables-ninja,"Python,Makefile",https://gsee.readthedocs.io/,",https://doi.org/10.1016/j.energy.2016.08.060","2016/09/01, 11:41:04",2610,BSD-3-Clause,0,56,"2022/03/10, 18:01:09",7,9,9,0,594,2,0.333333333333333,0.072727272727273,,,0,3,false,,false,true,,,https://github.com/renewables-ninja,https://www.renewables.ninja/,,,,https://avatars.githubusercontent.com/u/11838260?v=4,,,
PVMismatch,An explicit Python PV system IV & PV curve trace calculator which can also calculate mismatch.,SunPower,https://github.com/SunPower/PVMismatch.git,github,"numpy,scipy,python,solar,photovoltaic",Photovoltaics and Solar Energy,"2022/04/14, 19:15:36",63,0,13,false,Jupyter Notebook,SunPower,SunPower,"Jupyter Notebook,Python,Makefile,Batchfile",http://sunpower.github.io/PVMismatch/,,"2013/01/23, 00:26:43",3927,BSD-3-Clause,0,415,"2022/04/14, 19:15:36",48,41,95,0,559,5,2.2,0.173410404624277,"2019/05/11, 20:24:38",v4.1,0,8,false,,false,true,,,https://github.com/SunPower,,,,,https://avatars.githubusercontent.com/u/1341977?v=4,,,
rdtools,An open source library to support reproducible technical analysis of time series data from photovoltaic energy systems.,NREL,https://github.com/NREL/rdtools.git,github,,Photovoltaics and Solar Energy,"2023/07/31, 14:42:08",133,7,21,true,Python,National Renewable Energy Laboratory,NREL,Python,https://rdtools.readthedocs.io/,",https://doi.org/10.5281/zenodo.1210316,https://doi.org/10.1109/JPHOTOV.2017.2779779,https://doi.org/10.1109/JPHOTOV.2017.2784682,https://doi.org/10.1109/PVSC45281.2020.9300635,https://doi.org/10.1109/PVSC43889.2021.9518733","2016/11/18, 22:17:01",2531,MIT,67,689,"2023/10/18, 01:55:24",62,228,335,29,7,14,0.8,0.505555555555556,"2023/07/31, 14:46:51",2.1.6,0,12,false,,true,true,"cai-yutian/pv-modelling-mirror,MORE-EU/hackathon_athena,bhavyadureja25/ds_tool_with_upload,h-quest/FDDA_app,mikofski/PVRW2021,josephmckinsey/NRELHackathon2018,hackingmaterials/duramat_dashboard",,https://github.com/NREL,http://www.nrel.gov,"Golden, CO",,,https://avatars.githubusercontent.com/u/1906800?v=4,,,
Machine-Learning-for-Solar-Energy-Prediction,Predict the power production of a solar panel farm from weather measurements using machine learning.,ColasGael,https://github.com/ColasGael/Machine-Learning-for-Solar-Energy-Prediction.git,github,"machine-learning,neural-network,data-processing,python,matlab,tensorflow",Photovoltaics and Solar Energy,"2019/11/07, 18:37:29",183,0,36,false,Python,,,"Python,MATLAB,R,TeX,TSQL",,,"2018/05/06, 19:43:04",1997,MIT,0,11,"2019/11/15, 19:01:02",1,0,3,0,1440,0,0,0,,,0,1,false,,false,true,,,,,,,,,,,
elpv-dataset,A dataset of functional and defective solar cells extracted from EL images of solar modules.,zae-bayern,https://github.com/zae-bayern/elpv-dataset.git,github,"photovoltaic,solar-energy,solar-cells,machine-learning,computer-vision",Photovoltaics and Solar Energy,"2021/05/24, 21:44:52",166,0,42,true,Python,ZAE Bayern,zae-bayern,Python,,",https://doi.org/10.1007/s00138-021-01191-9","2018/03/07, 10:53:56",2058,CUSTOM,0,18,"2022/12/01, 21:22:32",0,0,4,1,327,0,0,0,"2021/05/25, 12:15:29",v1.0,0,1,false,,false,true,,,https://github.com/zae-bayern,https://www.zae-bayern.de,,,,https://avatars.githubusercontent.com/u/37119743?v=4,,,
feedinlib,Contains implementations of photovoltaic models to calculate electricity generation from a PV installation based on given solar radiation. Furthermore it contains all necessary pre-calculations.,oemof,https://github.com/oemof/feedinlib.git,github,,Photovoltaics and Solar Energy,"2023/07/30, 04:54:03",79,13,10,true,Python,oemof community,oemof,Python,,,"2014/07/24, 09:03:29",3380,MIT,3,507,"2023/07/21, 12:14:55",23,19,53,2,96,5,0.8,0.688372093023256,"2019/01/31, 14:19:59",v0.0.12,0,11,false,,false,true,"in-RET/inretensys-fastapi,UU-ER/EHUB-Py_Training,oemof/oemof,moritz-reuter/ESEM-EE,rl-institut/OWEFE,dpinney/wiires,SESMG/SESMG,greco-project/greco_technologies,birgits/dgs_tool,open-fred/feedin_germany,rl-institut/WAM_APP_vdi,rl-institut/WAM_APP_stemp_mv,rl-institut/appBBB",,https://github.com/oemof,https://oemof.org,Germany,,,https://avatars.githubusercontent.com/u/8503379?v=4,,,
photovoltaic,A Python library used in photovoltaics.,pvedu,https://github.com/pvedu/photovoltaic.git,github,,Photovoltaics and Solar Energy,"2022/04/25, 22:48:39",44,2,3,false,HTML,,,"HTML,Python,Batchfile",,,"2017/08/29, 23:41:59",2247,GPL-3.0,0,56,"2022/04/25, 22:48:40",2,2,2,0,547,1,0,0.428571428571429,,,0,3,false,,false,false,"NREL/PVDegradationTools,pvedu/pvon",,,,,,,,,,
pvcaptest,Collection of functions and Jupyter Notebooks to partially automate running a capacity test following ASTM E2848.,pvcaptest,https://github.com/pvcaptest/pvcaptest.git,github,,Photovoltaics and Solar Energy,"2023/09/05, 01:50:52",17,0,3,true,Python,,pvcaptest,Python,,,"2017/09/19, 01:33:23",2227,MIT,213,881,"2023/09/05, 01:53:52",22,35,76,31,50,0,0.3,0.015706806282723,"2023/09/10, 18:59:38",v0.10.0,0,3,false,,false,false,,,https://github.com/pvcaptest,,,,,https://avatars.githubusercontent.com/u/53880406?v=4,,,
